Date,東部,中部,西部,Sum
2022/2/1,,,,122
2022/2/2,,,,134
2022/2/3,,,,88
2022/2/4,,,,94
2022/2/5,,,,93
2022/2/6,,,,66
2022/2/7,,,,71
2022/2/8,,,,66
2022/2/9,,,,75
2022/2/10,,,,53
2022/2/11,,,,82
2022/2/12,,,,53
2022/2/13,,,,55
2022/2/14,,,,73
2022/2/15,,,,68
2022/2/16,,,,73
2022/2/17,,,,75
2022/2/18,,,,105
2022/2/19,,,,100
2022/2/20,,,,140
2022/2/21,64,16,36,116
2022/2/22,59,16,103,178
2022/2/23,84,10,117,211
2022/2/24,48,20,42,110
2022/2/25,88,31,61,180
2022/2/26,83,20,52,155
2022/2/27,77,22,42,141
2022/2/21,64,16,36,116
2022/2/22,59,16,103,178
2022/2/23,84,10,117,211
2022/2/24,48,20,42,110
2022/2/25,88,31,61,180
2022/2/26,83,20,52,155
2022/2/27,77,22,42,141
2022/2/28,48,17,32,97
2022/3/1,53,20,42,115
2022/3/2,67,9,30,106
2022/3/3,62,34,49,145
2022/3/4,62,18,47,127
2022/3/5,34,20,35,89
2022/3/6,30,13,34,77
2022/3/7,33,8,15,56
2022/3/8,38,6,31,75
2022/3/9,34,9,33,76
2022/3/10,42,10,45,97
2022/3/11,36,0,24,60
2022/3/12,41,1,33,75
2022/3/13,41,8,34,83
2022/3/14,62,4,26,92
2022/3/15,52,4,32,88
2022/3/16,55,4,48,107
2022/3/17,35,5,34,74
2022/3/18,43,7,29,79
2022/3/19,29,3,23,55
2022/3/20,43,7,25,75
2022/3/21,14,10,23,47
2022/3/22,46,11,20,77
2022/3/23,33,21,27,81
2022/3/24,66,17,55,138
2022/3/25,43,18,43,104
2022/3/26,29,21,27,77
2022/3/27,22,17,31,70
2022/3/28,27,13,18,58
2022/3/29,41,23,21,85
2022/3/30,49,21,24,94
2022/3/31,39,12,18,69
2022/4/1,27,15,12,54
2022/4/2,59,20,27,106
2022/04/03,50,12,17,79
2022/04/04,22,7,23,52
2022/04/05,37,10,32,79
2022/04/06,53,17,25,95
2022/04/07,25,7,38,70
2022/04/08,24,3,48,75
2022/04/09,40,19,34,93
2022/04/10,28,5,29,62
2022/04/11,27,15,27,69
2022/04/12,32,15,51,98
2022/04/13,13,12,75,100
2022/04/14,35,11,80,126
2022/04/15,43,7,95,145
2022/04/16,42,6,63,111
2022/04/17,29,11,57,97
2022/04/18,36,0,38,74
2022/04/19,35,4,64,103
2022/04/20,50,13,61,124
2022/04/21,49,12,85,146
2022/04/22,45,13,64,122
2022/04/23,47,11,72,130
2022/04/24,46,9,58,113
2022/04/25,34,14,48,96
2022/04/26,39,10,102,151
2022/04/27,36,10,53,99
2022/04/28,30,12,55,97
2022/04/29,22,5,58,85
2022/04/30,15,3,32,50
2022/05/01,21,11,42,74
2022/05/02,11,4,36,51
2022/05/03,18,9,57,84
2022/05/04,22,10,26,58
2022/05/05,6,1,47,54
2022/05/06,23,4,38,65
2022/05/07,44,15,75,134
2022/05/08,53,14,53,120
2022/05/09,41,8,55,104
2022/05/10,42,10,78,130
2022/05/11,51,10,55,116
2022/05/12,39,19,44,102
2022/05/13,41,18,59,118
2022/05/14,44,19,48,111
2022/05/15,35,19,59,113
2022/05/16,35,12,27,74
2022/05/17,48,22,69,139
2022/05/18,40,39,48,127
2022/05/19,60,13,62,135
2022/05/20,29,12,50,91
2022/05/21,50,15,41,106
2022/05/22,32,15,21,68
2022/05/23,32,9,35,76
2022/05/24,73,14,40,127
2022/05/25,58,8,28,94
2022/05/26,43,6,29,78
2022/05/27,38,4,25,67
2022/05/28,46,7,21,74
2022/05/29,30,4,23,57.0
2022/05/30,33,2,24,59
2022/05/31,44,11,25,80
2022/06/01,43,3,25,71
2022/06/02,24,3,25,52
2022/06/03,31,4,13,48
2022/06/04,29,7,10,46
2022/06/05,19,4,12,35
2022/06/06,25,0,8,33
2022/06/07,48,6,6,60
2022/06/08,26,1,5,32
2022/06/09,28,1,6,35
2022/06/10,23,1,3,27
2022/06/11,24,1,2,27
2022/06/12,28,6,7,41
2022/06/13,19,7,4,30
2022/06/14,12,1,8,21
2022/06/15,19,3,7,29
2022/06/16,21,2,3,26
2022/06/17,19,0,8,27
2022/06/18,25,1,10,36
2022/06/19,27,2,10,39
2022/06/20,27,0.0,16,43
2022/06/21,33,2,13,48
2022/06/22,34,13,15,62
2022/06/23,29,2,23,54
2022/06/24,23,6,18,47
2022/06/25,22,4,37,63
2022/06/26,21,2,22,45
2022/06/27,7,2,42,51
2022/06/28,16,5,64,85
2022/06/29,21,6,77,104
2022/06/30,17,4,78,99
2022/07/01,20,5,70,95
2022/07/02,34,7,89,130
2022/07/03,25,9,73,107
2022/07/04,41,4,93,138
2022/07/05,45,15,144,204
2022/07/06,49,21,145,215
2022/07/07,41,36,142,219
2022/07/08,48,47,148,243
2022/07/09,55,45,189,289
2022/07/10,69,68,160,297
2022/07/11,41,77,105,223
2022/07/12,68,153,211,432
2022/07/13,60,107,209,376
2022/07/14,70,124,214,408
2022/07/15,56,94,251,401
2022/07/16,69,85,216,370
2022/07/17,71,112,231,414
2022/07/18,70,56,159,285
2022/07/19,109,69,209,387
2022/07/20,155,98,311,564
2022/07/21,168,69,336,573
2022/07/22,146,76,250,472
2022/07/23,181,78,263,522
2022/07/24,204,57,256,517
